state,polling_place,premises,address,suburb,postcode,wheelchair_access
NSW,Mortdale East,Mortdale Public School,Coleborne Ave,MORTDALE,2223.0,A
NSW,Ramsgate North,Ramsgate Public School,Florence St,RAMSGATE,2217.0,N
NSW,Rockdale,St Johns Anglican Church Hall,431 Princes Highway,ROCKDALE,2216.0,N
NSW,Rockdale Central,Rockdale Uniting Church Hall,11 Bay St,ROCKDALE,2216.0,A
NSW,Rockdale Park,St Dominic Savio School,280 West Botany St,ROCKDALE,2216.0,A
NSW,Rockdale West,McNess Church Hall,Frederick St,ROCKDALE,2216.0,N
NSW,St Cuthbert's,St Cuthberts Church Hall,34 Park Rd,CARLTON,2218.0,A
NSW,St George Hospital,"St George Hospital, Coffee Shop (Ward Block)",Belgrave St,KOGARAH,2217.0,F
NSW,Sans Souci,Sans Souci Public School,413 Rocky Point Rd,SANS SOUCI,2219.0,N
NSW,Sans Souci North,Sans Souci Literary Institute,107 Ramsgate Rd,SANS SOUCI,2219.0,A
NSW,South Haven,South Haven Activity Centre,35 Beach St,KOGARAH,2217.0,F
NSW,The Mall,St Marks Church Hall,10 The Mall,SOUTH HURSTVILLE,2221.0,A
NSW,Turrella,Cairnsfoot School,22 Loftus St,TURRELLA,2205.0,F
NSW,Balaclava,Epping Boys High School,Vimiera Rd,MARSFIELD,2122.0,N
NSW,Boronia Park,Boronia Park Public School,Pittwater Rd,BORONIA PARK,2111.0,N
NSW,Denistone,Eastwood Baptist Hall,First Ave,EASTWOOD,2122.0,A
NSW,Denistone East,Denistone East Infants School,Brabyn St,EASTWOOD,2122.0,N
NSW,Eastview,"Australian Air League Building, Santa Rosa Park",64 Bridge Rd,RYDE,2112.0,N
NSW,Eastwood,Eastwood Public School,Rowe St,EASTWOOD,2122.0,F
NSW,Eastwood Heights,Eastwood Heights Public School,Lincoln St,EASTWOOD,2122.0,N
NSW,Eastwood West,Corrective Services Academy,66 Terry Rd,EASTWOOD,2122.0,F
NSW,Epping,Isobel Pulsford Memorial Kindergarten,46-48 Bridge St,EPPING,2121.0,A
NSW,Epping East,Epping Community Centre,9 Oxford St,EPPING,2121.0,N
NSW,Epping North,Epping North Public School,Boundary Rd,NORTH EPPING,2121.0,N
NSW,Epping West,Epping West Public School,96 Carlingford Rd,EPPING,2121.0,N
NSW,Ermington,Marsden High School,Winbourne St,WEST RYDE,2114.0,A
NSW,Gladesville,Gladesville Public School,Victoria Rd,GLADESVILLE,2111.0,N
NSW,Gladesville Central,Christ Church Hall,Victoria Rd,GLADESVILLE,2111.0,F
NSW,Gladesville East,Gladesville Uniting Church Hall,Wharf Rd,GLADESVILLE,2111.0,N
NSW,Gladesville North,Gladesville Scout Hall,cnr Ryde Rd & Westminster Rd,GLADESVILLE,2111.0,N
NSW,Gladesville West,Garage,119 Tennyson Rd,TENNYSON,2111.0,N
NSW,Hunters Hill,All Saints Church Hall,Ambrose St,HUNTERS HILL,2110.0,A
NSW,Hunters Hill West,St Marks Church Hall,Figtree St,HUNTERS HILL,2110.0,N
