state,polling_place,premises,address,suburb,postcode,wheelchair_access,match_source,match_type,latitude,longitude,geometry,pp_2016_index
ACT,Palmerston,Palmerston Primary School,Kosciusko Ave,PALMERSTON,2913.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.1975,149.12,POINT (149.12 -35.1975),92
ACT,Reid,Uniting Church Hall,54 Coranderrk St,REID,2612.0,N,google geocode,RANGE_INTERPOLATED,-35.2801071,149.1401034,POINT (149.1401034 -35.2801071),4
ACT,Scullin,Southern Cross Primary School,Ross Smith Cres,SCULLIN,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2328,149.03799999999995,POINT (149.038 -35.2328),94
ACT,Spence,Former Spence Primary School,Crofts Cres,SPENCE,2615.0,N,google geocode,GEOMETRIC_CENTER,-35.1987171,149.062818,POINT (149.062818 -35.1987171),87
ACT,Turner,Turner Primary School,Condamine St,TURNER,2601.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.265,149.126,POINT (149.126 -35.265),51
ACT,Watson,Majura Primary School,Irvine St,WATSON,2602.0,F,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2385,149.155,POINT (149.155 -35.2385),100
ACT,Weetangera,Weetangera Primary School,Southwell St,WEETANGERA,2614.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.2518,149.047,POINT (149.047 -35.2518),101
ACT,Wreck Bay,Community Office,Wreck Bay Rd,WRECK BAY,2540.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-35.159,150.697,POINT (150.697 -35.159),987
NSW,Beverly Hills North,Beverly Hills North Public School,Shorter Ave,BEVERLY HILLS,2209.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9413,151.075,POINT (151.075 -33.9413),105
NSW,East Hills,1st East Hills Scout Hall,Cnr Henry Lawson Dr & Maclaurin Ave,EAST HILLS,2213.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9637,150.987,POINT (150.987 -33.9637),113
NSW,Hannans Road,Hannans Road Public School,Hannans Rd,RIVERWOOD,2210.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9459,151.058,POINT (151.058 -33.9459),143
NSW,Lugarno,Lugarno Public School,Old Forest Rd,LUGARNO,2210.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9857,151.04399999999995,POINT (151.044 -33.9857),119
NSW,Milperra,Milperra Public School,Pozieres Ave,MILPERRA,2214.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9418,150.98,POINT (150.98 -33.9418),323
NSW,Mortdale Central,Mortdale Pensioners Welfare Club,76 Pitt St,MORTDALE,2223.0,A,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9727,151.077,POINT (151.077 -33.9727),120
NSW,Mortdale Heights,Girl Guides Hall,Beatty St,MORTDALE,2223.0,N,2007 Polling Places,"Match 05 - state, polling_place, postcode",-33.9705,151.067,POINT (151.067 -33.9705),125
NSW,Mortdale West,Penshurst West Public School,Forest Rd,MORTDALE,2223.0,N,2007 Polling Places,"Match 01 - state, premises, postcode",-33.9619,151.07299999999995,POINT (151.073 -33.9619),122
