state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
NSW,Armidale University,158,157,315,2,317,0.5016,0.4984,0.9937,0.0063
NSW,Armidale West,886,1359,2245,27,2272,0.3947,0.6053,0.9881,0.0119
NSW,Arncliffe,657,523,1180,13,1193,0.5568,0.4432,0.9891,0.0109
NSW,Arncliffe East,570,475,1045,23,1068,0.5455,0.4545,0.9785,0.0215
NSW,Artarmon Central,1368,880,2248,21,2269,0.6085,0.3915,0.9907,0.0093
NSW,Ashbury,1469,965,2434,29,2463,0.6035,0.3965,0.9882,0.0118
NSW,Ashfield,1748,1027,2775,34,2809,0.6299,0.3701,0.9879,0.0121
NSW,Ashfield East,649,414,1063,20,1083,0.6105,0.3895,0.9815,0.0185
NSW,Ashfield North,1215,766,1981,17,1998,0.6133,0.3867,0.9915,0.0085
NSW,Ashley,28,92,120,0,120,0.2333,0.7667,1.0,0.0
NSW,Ashmont,621,1426,2047,23,2070,0.3034,0.6966,0.9889,0.0111
NSW,Ashtonfield,632,712,1344,4,1348,0.4702,0.5298,0.997,0.003
NSW,Asquith,1034,1095,2129,15,2144,0.4857,0.5143,0.993,0.007
NSW,Athelstane,1744,1266,3010,45,3055,0.5794,0.4206,0.9853,0.0147
NSW,Attunga,86,330,416,2,418,0.2067,0.7933,0.9952,0.0048
NSW,Auburn East,254,288,542,8,550,0.4686,0.5314,0.9855,0.0145
NSW,Auburn Hospital,173,175,348,5,353,0.4971,0.5029,0.9858,0.0142
NSW,Auburn North,1047,643,1690,26,1716,0.6195,0.3805,0.9848,0.0152
NSW,Auburn West,1510,1634,3144,83,3227,0.4803,0.5197,0.9743,0.0257
NSW,Austral,626,864,1490,22,1512,0.4201,0.5799,0.9854,0.0146
NSW,Awaba,115,165,280,1,281,0.4107,0.5893,0.9964,0.0036
NSW,Baan Baa,26,92,118,1,119,0.2203,0.7797,0.9916,0.0084
NSW,Badgerys Creek,77,169,246,2,248,0.313,0.687,0.9919,0.0081
NSW,Bald Face,724,741,1465,13,1478,0.4942,0.5058,0.9912,0.0088
NSW,Bald Rock,149,69,218,1,219,0.6835,0.3165,0.9954,0.0046
NSW,Balgowlah,751,721,1472,11,1483,0.5102,0.4898,0.9926,0.0074
NSW,Balgowlah Heights,1327,1141,2468,13,2481,0.5377,0.4623,0.9948,0.0052
NSW,Balgownie,610,473,1083,8,1091,0.5633,0.4367,0.9927,0.0073
NSW,Balgownie Central,1435,1164,2599,22,2621,0.5521,0.4479,0.9916,0.0084
NSW,Balladoran,11,82,93,0,93,0.1183,0.8817,1.0,0.0
NSW,Balldale,29,88,117,1,118,0.2479,0.7521,0.9915,0.0085
