state,polling_place,yes_n,no_n,formal_n,informal_n,total_n,yes_p,no_p,formal_p,informal_p
SA,Everard Park,396,342,738,7,745,0.5366,0.4634,0.9906,0.0094
SA,Fairview Park,789,1021,1810,10,1820,0.4359,0.5641,0.9945,0.0055
SA,Farrell Flat,36,95,131,2,133,0.2748,0.7252,0.985,0.015
SA,Felixstow,566,515,1081,6,1087,0.5236,0.4764,0.9945,0.0055
SA,Ferryden Park,445,690,1135,17,1152,0.3921,0.6079,0.9852,0.0148
SA,Findon,887,841,1728,23,1751,0.5133,0.4867,0.9869,0.0131
SA,Findon North,569,599,1168,10,1178,0.4872,0.5128,0.9915,0.0085
SA,Flagstaff Hill,2275,1705,3980,28,4008,0.5716,0.4284,0.993,0.007
SA,Flagstaff Hill East,376,288,664,4,668,0.5663,0.4337,0.994,0.006
SA,Flinders Park,1511,1542,3053,33,3086,0.4949,0.5051,0.9893,0.0107
SA,Forbes,1072,1360,2432,27,2459,0.4408,0.5592,0.989,0.011
SA,Forreston,108,97,205,1,206,0.5268,0.4732,0.9951,0.0049
SA,Frances,31,98,129,0,129,0.2403,0.7597,1.0,0.0
SA,Freeling,237,592,829,5,834,0.2859,0.7141,0.994,0.006
SA,Fulham,872,971,1843,22,1865,0.4731,0.5269,0.9882,0.0118
SA,Fulham Gardens,1896,1505,3401,59,3460,0.5575,0.4425,0.9829,0.0171
SA,Fullarton,1365,909,2274,16,2290,0.6003,0.3997,0.993,0.007
SA,Furner,29,101,130,1,131,0.2231,0.7769,0.9924,0.0076
SA,Gawler,667,1203,1870,21,1891,0.3567,0.6433,0.9889,0.0111
SA,Gawler East,683,1068,1751,17,1768,0.3901,0.6099,0.9904,0.0096
SA,Gawler River,72,191,263,3,266,0.2738,0.7262,0.9887,0.0113
SA,Gawler South,917,1574,2491,25,2516,0.3681,0.6319,0.9901,0.0099
SA,Gawler West,555,1215,1770,19,1789,0.3136,0.6864,0.9894,0.0106
SA,Georgetown,72,114,186,3,189,0.3871,0.6129,0.9841,0.0159
SA,Geranium,24,114,138,1,139,0.1739,0.8261,0.9928,0.0072
SA,Gilles Plains,305,321,626,10,636,0.4872,0.5128,0.9843,0.0157
SA,Gilles Plains East,580,846,1426,18,1444,0.4067,0.5933,0.9875,0.0125
SA,Gladstone,105,377,482,2,484,0.2178,0.7822,0.9959,0.0041
SA,Glandore,673,610,1283,10,1293,0.5246,0.4754,0.9923,0.0077
SA,Glen Osmond,433,327,760,4,764,0.5697,0.4303,0.9948,0.0052
SA,Glenburnie,47,154,201,1,202,0.2338,0.7662,0.995,0.005
SA,Glencoe,111,279,390,9,399,0.2846,0.7154,0.9774,0.0226
SA,Glenelg Central,850,802,1652,8,1660,0.5145,0.4855,0.9952,0.0048
SA,Glenelg East,821,738,1559,14,1573,0.5266,0.4734,0.9911,0.0089
SA,Glenelg North,1039,1142,2181,22,2203,0.4764,0.5236,0.99,0.01
SA,Glenelg South,962,925,1887,13,1900,0.5098,0.4902,0.9932,0.0068
SA,Glengowrie,803,952,1755,4,1759,0.4575,0.5425,0.9977,0.0023
SA,Glenunga,616,538,1154,3,1157,0.5338,0.4662,0.9974,0.0026
SA,Glenunga North,862,706,1568,15,1583,0.5497,0.4503,0.9905,0.0095
SA,Glossop,180,269,449,3,452,0.4009,0.5991,0.9934,0.0066
SA,Glynde,810,732,1542,19,1561,0.5253,0.4747,0.9878,0.0122
SA,Golden Grove,129,232,361,5,366,0.3573,0.6427,0.9863,0.0137
SA,Golden Grove Central,1050,1268,2318,17,2335,0.453,0.547,0.9927,0.0073
SA,Golden Grove East,825,896,1721,11,1732,0.4794,0.5206,0.9936,0.0064
SA,Goodwood,1334,655,1989,19,2008,0.6707,0.3293,0.9905,0.0095
SA,Goodwood Park,393,181,574,8,582,0.6847,0.3153,0.9863,0.0137
SA,Goolwa,1031,1725,2756,20,2776,0.3741,0.6259,0.9928,0.0072
SA,Gosse,25,43,68,0,68,0.3676,0.6324,1.0,0.0
SA,Grange,1726,1576,3302,31,3333,0.5227,0.4773,0.9907,0.0093
SA,Greenacres,609,801,1410,13,1423,0.4319,0.5681,0.9909,0.0091
SA,Greenock,297,519,816,4,820,0.364,0.636,0.9951,0.0049
SA,Greenways,26,61,87,2,89,0.2989,0.7011,0.9775,0.0225
SA,Greenwith,1670,2155,3825,27,3852,0.4366,0.5634,0.993,0.007
SA,Grovene,645,705,1350,12,1362,0.4778,0.5222,0.9912,0.0088
SA,Gumeracha,258,332,590,2,592,0.4373,0.5627,0.9966,0.0034
SA,Hackham,747,1459,2206,19,2225,0.3386,0.6614,0.9915,0.0085
SA,Hackham East,1288,2183,3471,32,3503,0.3711,0.6289,0.9909,0.0091
SA,Hackham South,589,1072,1661,18,1679,0.3546,0.6454,0.9893,0.0107
SA,Hahndorf,737,916,1653,14,1667,0.4459,0.5541,0.9916,0.0084
SA,Hallett,38,97,135,1,136,0.2815,0.7185,0.9926,0.0074
SA,Hallett Cove,1328,1428,2756,23,2779,0.4819,0.5181,0.9917,0.0083
SA,Hamley Bridge,126,289,415,3,418,0.3036,0.6964,0.9928,0.0072
SA,Hampstead Gardens,422,516,938,6,944,0.4499,0.5501,0.9936,0.0064
SA,Happy Valley,1329,1483,2812,21,2833,0.4726,0.5274,0.9926,0.0074
SA,Hardwicke Bay,21,68,89,2,91,0.236,0.764,0.978,0.022
SA,Harrogate,46,64,110,0,110,0.4182,0.5818,1.0,0.0
SA,Hawker,64,176,240,2,242,0.2667,0.7333,0.9917,0.0083
SA,Hawthorn,382,238,620,6,626,0.6161,0.3839,0.9904,0.0096
SA,Hawthorn West,840,622,1462,10,1472,0.5746,0.4254,0.9932,0.0068
SA,Hawthorndene,953,717,1670,10,1680,0.5707,0.4293,0.994,0.006
SA,Hectorville North,1264,1008,2272,37,2309,0.5563,0.4437,0.984,0.016
SA,Henley Beach,1251,1006,2257,26,2283,0.5543,0.4457,0.9886,0.0114
SA,Henley South,829,685,1514,12,1526,0.5476,0.4524,0.9921,0.0079
SA,Highbury East,657,761,1418,13,1431,0.4633,0.5367,0.9909,0.0091
SA,Highbury South,2102,2076,4178,34,4212,0.5031,0.4969,0.9919,0.0081
SA,Hillbank,573,1147,1720,18,1738,0.3331,0.6669,0.9896,0.0104
SA,Hillcrest,936,1183,2119,28,2147,0.4417,0.5583,0.987,0.013
SA,Hindmarsh,81,54,135,3,138,0.6,0.4,0.9783,0.0217
SA,Hindmarsh Island,87,142,229,3,232,0.3799,0.6201,0.9871,0.0129
SA,Hindmarsh Valley,56,116,172,2,174,0.3256,0.6744,0.9885,0.0115
SA,Holden Hill,1140,1304,2444,29,2473,0.4664,0.5336,0.9883,0.0117
SA,Holden Hill North,661,851,1512,13,1525,0.4372,0.5628,0.9915,0.0085
SA,Hope Forest,84,92,176,0,176,0.4773,0.5227,1.0,0.0
SA,Hope Valley,540,729,1269,13,1282,0.4255,0.5745,0.9899,0.0101
SA,Houghton,249,335,584,4,588,0.4264,0.5736,0.9932,0.0068
SA,Hyde Park,1038,586,1624,9,1633,0.6392,0.3608,0.9945,0.0055
SA,Hynam,45,97,142,1,143,0.3169,0.6831,0.993,0.007
SA,Ingle Farm,1515,2298,3813,43,3856,0.3973,0.6027,0.9888,0.0112
SA,Ingle Farm North,412,666,1078,12,1090,0.3822,0.6178,0.989,0.011
SA,Inman Valley,64,115,179,1,180,0.3575,0.6425,0.9944,0.0056
SA,Iron Knob,34,91,125,1,126,0.272,0.728,0.9921,0.0079
SA,Jamestown,359,946,1305,9,1314,0.2751,0.7249,0.9932,0.0068
SA,Jervois,38,112,150,1,151,0.2533,0.7467,0.9934,0.0066
SA,Kadina,603,1546,2149,21,2170,0.2806,0.7194,0.9903,0.0097
SA,Kalangadoo,84,246,330,4,334,0.2545,0.7455,0.988,0.012
SA,Kangarilla,231,274,505,3,508,0.4574,0.5426,0.9941,0.0059
SA,Kapunda,530,1201,1731,9,1740,0.3062,0.6938,0.9948,0.0052
SA,Karkoo,29,81,110,0,110,0.2636,0.7364,1.0,0.0
SA,Karoonda,103,371,474,6,480,0.2173,0.7827,0.9875,0.0125
SA,Karrara,1777,1678,3455,23,3478,0.5143,0.4857,0.9934,0.0066
SA,Keith,307,743,1050,8,1058,0.2924,0.7076,0.9924,0.0076
SA,Kensington Gardens,865,747,1612,7,1619,0.5366,0.4634,0.9957,0.0043
SA,Kensington Park,873,494,1367,5,1372,0.6386,0.3614,0.9964,0.0036
SA,Kent Town,249,157,406,5,411,0.6133,0.3867,0.9878,0.0122
SA,Kersbrook,224,420,644,3,647,0.3478,0.6522,0.9954,0.0046
SA,Keswick,366,316,682,4,686,0.5367,0.4633,0.9942,0.0058
SA,Keyneton,51,95,146,0,146,0.3493,0.6507,1.0,0.0
SA,Kidman Park,533,493,1026,16,1042,0.5195,0.4805,0.9846,0.0154
SA,Kidman Park South,1411,1013,2424,29,2453,0.5821,0.4179,0.9882,0.0118
SA,Kilburn,564,737,1301,22,1323,0.4335,0.5665,0.9834,0.0166
SA,Kilburn South,445,563,1008,19,1027,0.4415,0.5585,0.9815,0.0185
SA,Kilkenny,598,521,1119,12,1131,0.5344,0.4656,0.9894,0.0106
SA,Kimba,209,526,735,6,741,0.2844,0.7156,0.9919,0.0081
SA,Kingscote,420,970,1390,8,1398,0.3022,0.6978,0.9943,0.0057
SA,Kingston,403,936,1339,20,1359,0.301,0.699,0.9853,0.0147
SA,Kingswood,966,576,1542,13,1555,0.6265,0.3735,0.9916,0.0084
SA,Kirton Point,387,787,1174,12,1186,0.3296,0.6704,0.9899,0.0101
SA,Klemzig,1216,1236,2452,34,2486,0.4959,0.5041,0.9863,0.0137
SA,Kongorong,74,183,257,3,260,0.2879,0.7121,0.9885,0.0115
SA,Kurralta Park,725,681,1406,13,1419,0.5156,0.4844,0.9908,0.0092
SA,Kybybolite,24,58,82,4,86,0.2927,0.7073,0.9535,0.0465
SA,Lameroo,149,365,514,3,517,0.2899,0.7101,0.9942,0.0058
SA,Langhorne Creek,78,158,236,4,240,0.3305,0.6695,0.9833,0.0167
SA,Largs Bay,1470,1858,3328,30,3358,0.4417,0.5583,0.9911,0.0089
SA,Largs Bay Central,449,422,871,8,879,0.5155,0.4845,0.9909,0.0091
SA,Laura,156,373,529,3,532,0.2949,0.7051,0.9944,0.0056
SA,Leigh Creek,160,223,383,1,384,0.4178,0.5822,0.9974,0.0026
SA,Lenswood,180,264,444,2,446,0.4054,0.5946,0.9955,0.0045
SA,Linden Park,747,623,1370,2,1372,0.5453,0.4547,0.9985,0.0015
SA,Littlehampton,668,734,1402,13,1415,0.4765,0.5235,0.9908,0.0092
SA,Lobethal,443,815,1258,11,1269,0.3521,0.6479,0.9913,0.0087
SA,Lochiel,36,73,109,0,109,0.3303,0.6697,1.0,0.0
SA,Lock,53,291,344,4,348,0.1541,0.8459,0.9885,0.0115
SA,Lockleys,902,949,1851,16,1867,0.4873,0.5127,0.9914,0.0086
SA,Lockleys North,644,602,1246,21,1267,0.5169,0.4831,0.9834,0.0166
SA,Longwood,178,148,326,3,329,0.546,0.454,0.9909,0.0091
SA,Lonsdale,379,560,939,12,951,0.4036,0.5964,0.9874,0.0126
SA,Lower North Adelaide,660,331,991,7,998,0.666,0.334,0.993,0.007
SA,Loxton,1041,1911,2952,25,2977,0.3526,0.6474,0.9916,0.0084
SA,Loxton North,170,324,494,4,498,0.3441,0.6559,0.992,0.008
SA,Lucindale,183,332,515,4,519,0.3553,0.6447,0.9923,0.0077
SA,Lyndoch,405,690,1095,10,1105,0.3699,0.6301,0.991,0.009
SA,Lyrup,79,122,201,5,206,0.393,0.607,0.9757,0.0243
SA,Macclesfield,350,403,753,4,757,0.4648,0.5352,0.9947,0.0053
SA,Magill,2356,1708,4064,36,4100,0.5797,0.4203,0.9912,0.0088
SA,Magill North,981,1033,2014,18,2032,0.4871,0.5129,0.9911,0.0089
SA,Maitland,178,741,919,3,922,0.1937,0.8063,0.9967,0.0033
SA,Mallala,193,545,738,4,742,0.2615,0.7385,0.9946,0.0054
SA,Malvern,940,599,1539,1,1540,0.6108,0.3892,0.9994,0.0006
SA,Mannum,491,1254,1745,19,1764,0.2814,0.7186,0.9892,0.0108
SA,Manoora,53,155,208,1,209,0.2548,0.7452,0.9952,0.0048
SA,Mansfield Park,845,1113,1958,48,2006,0.4316,0.5684,0.9761,0.0239
SA,Marden,188,157,345,2,347,0.5449,0.4551,0.9942,0.0058
SA,Marden West,1241,985,2226,30,2256,0.5575,0.4425,0.9867,0.0133
SA,Marino,770,678,1448,4,1452,0.5318,0.4682,0.9972,0.0028
SA,Marion,527,676,1203,8,1211,0.4381,0.5619,0.9934,0.0066
SA,Marion Bay,32,59,91,0,91,0.3516,0.6484,1.0,0.0
SA,Marrabel,17,103,120,0,120,0.1417,0.8583,1.0,0.0
SA,Marryatville,560,381,941,3,944,0.5951,0.4049,0.9968,0.0032
SA,Maslin Beach,238,305,543,1,544,0.4383,0.5617,0.9982,0.0018
SA,Maylands,1101,540,1641,18,1659,0.6709,0.3291,0.9892,0.0108
SA,Mclaren Flat,294,354,648,8,656,0.4537,0.5463,0.9878,0.0122
SA,Mclaren Vale,826,1200,2026,10,2036,0.4077,0.5923,0.9951,0.0049
SA,Meadows,398,528,926,7,933,0.4298,0.5702,0.9925,0.0075
SA,Melrose,63,168,231,3,234,0.2727,0.7273,0.9872,0.0128
SA,Melrose Park,1032,1058,2090,26,2116,0.4938,0.5062,0.9877,0.0123
SA,Meningie,237,622,859,9,868,0.2759,0.7241,0.9896,0.0104
SA,Middleton,212,336,548,4,552,0.3869,0.6131,0.9928,0.0072
SA,Mil Lel,62,139,201,3,204,0.3085,0.6915,0.9853,0.0147
SA,Milang,167,358,525,5,530,0.3181,0.6819,0.9906,0.0094
SA,Mile End,1126,587,1713,26,1739,0.6573,0.3427,0.985,0.015
SA,Millicent,802,1701,2503,23,2526,0.3204,0.6796,0.9909,0.0091
SA,Millicent South,259,535,794,9,803,0.3262,0.6738,0.9888,0.0112
SA,Minlaton,181,594,775,14,789,0.2335,0.7665,0.9823,0.0177
SA,Minnipa,53,124,177,3,180,0.2994,0.7006,0.9833,0.0167
SA,Mitcham,1399,1199,2598,17,2615,0.5385,0.4615,0.9935,0.0065
SA,Mitchell Park,993,1107,2100,31,2131,0.4729,0.5271,0.9855,0.0145
SA,Moana,973,1320,2293,26,2319,0.4243,0.5757,0.9888,0.0112
SA,Moculta,37,94,131,0,131,0.2824,0.7176,1.0,0.0
SA,Modbury Central,916,1155,2071,15,2086,0.4423,0.5577,0.9928,0.0072
SA,Modbury Heights,1544,2057,3601,29,3630,0.4288,0.5712,0.992,0.008
SA,Modbury North,1103,1630,2733,25,2758,0.4036,0.5964,0.9909,0.0091
SA,Modbury West,1405,1614,3019,25,3044,0.4654,0.5346,0.9918,0.0082
SA,Monash,216,313,529,3,532,0.4083,0.5917,0.9944,0.0056
SA,Montacute,70,101,171,0,171,0.4094,0.5906,1.0,0.0
SA,Moonta,528,1295,1823,8,1831,0.2896,0.7104,0.9956,0.0044
SA,Moonta Mines,94,275,369,3,372,0.2547,0.7453,0.9919,0.0081
SA,Moorak,120,273,393,0,393,0.3053,0.6947,1.0,0.0
SA,Moorook,97,266,363,6,369,0.2672,0.7328,0.9837,0.0163
SA,Morgan,150,359,509,5,514,0.2947,0.7053,0.9903,0.0097
SA,Morphett Vale,1262,1974,3236,41,3277,0.39,0.61,0.9875,0.0125
SA,Morphett Vale East,1083,1512,2595,26,2621,0.4173,0.5827,0.9901,0.0099
SA,Morphett Vale North,659,907,1566,10,1576,0.4208,0.5792,0.9937,0.0063
SA,Morphett Vale South,324,670,994,11,1005,0.326,0.674,0.9891,0.0109
SA,Morphettville,517,710,1227,15,1242,0.4214,0.5786,0.9879,0.0121
SA,Mount Barker,1922,2711,4633,42,4675,0.4148,0.5852,0.991,0.009
SA,Mount Burr,96,229,325,5,330,0.2954,0.7046,0.9848,0.0152
SA,Mount Compass,306,515,821,13,834,0.3727,0.6273,0.9844,0.0156
SA,Mount Gambier,1202,2074,3276,31,3307,0.3669,0.6331,0.9906,0.0094
SA,Mount Gambier East,981,2088,3069,27,3096,0.3196,0.6804,0.9913,0.0087
SA,Mount Gambier North,610,1465,2075,17,2092,0.294,0.706,0.9919,0.0081
SA,Mount Gambier Park,793,1339,2132,18,2150,0.372,0.628,0.9916,0.0084
SA,Mount Gambier West,1035,2077,3112,19,3131,0.3326,0.6674,0.9939,0.0061
SA,Mount Pleasant,228,427,655,3,658,0.3481,0.6519,0.9954,0.0046
SA,Mount Torrens,141,234,375,1,376,0.376,0.624,0.9973,0.0027
SA,Mundulla,105,237,342,1,343,0.307,0.693,0.9971,0.0029
SA,Munno Para,250,730,980,6,986,0.2551,0.7449,0.9939,0.0061
SA,Murray Bridge,704,1518,2222,25,2247,0.3168,0.6832,0.9889,0.0111
SA,Murray Bridge East,356,877,1233,13,1246,0.2887,0.7113,0.9896,0.0104
SA,Murray Bridge South,889,1992,2881,29,2910,0.3086,0.6914,0.99,0.01
SA,Murray Bridge West,636,1487,2123,24,2147,0.2996,0.7004,0.9888,0.0112
SA,Mylor,436,289,725,5,730,0.6014,0.3986,0.9932,0.0068
SA,Mypolonga,96,242,338,4,342,0.284,0.716,0.9883,0.0117
SA,Myponga,150,258,408,9,417,0.3676,0.6324,0.9784,0.0216
SA,Myrtle Bank,1060,774,1834,15,1849,0.578,0.422,0.9919,0.0081
SA,Nailsworth,878,625,1503,15,1518,0.5842,0.4158,0.9901,0.0099
SA,Nairne,734,1045,1779,22,1801,0.4126,0.5874,0.9878,0.0122
SA,Nangula,43,123,166,0,166,0.259,0.741,1.0,0.0
SA,Nangwarry,119,229,348,9,357,0.342,0.658,0.9748,0.0252
SA,Napperby,160,279,439,1,440,0.3645,0.6355,0.9977,0.0023
SA,Naracoorte,649,1499,2148,16,2164,0.3021,0.6979,0.9926,0.0074
SA,Naracoorte South,527,1021,1548,6,1554,0.3404,0.6596,0.9961,0.0039
SA,Narrung,31,71,102,0,102,0.3039,0.6961,1.0,0.0
SA,Netherby,690,518,1208,5,1213,0.5712,0.4288,0.9959,0.0041
SA,Netley,743,866,1609,16,1625,0.4618,0.5382,0.9902,0.0098
SA,Newton,955,739,1694,27,1721,0.5638,0.4362,0.9843,0.0157
SA,Nildottie,39,114,153,3,156,0.2549,0.7451,0.9808,0.0192
SA,Noarlunga Downs,397,754,1151,6,1157,0.3449,0.6551,0.9948,0.0052
SA,North Adelaide,1560,879,2439,17,2456,0.6396,0.3604,0.9931,0.0069
SA,North Brighton,638,705,1343,9,1352,0.4751,0.5249,0.9933,0.0067
SA,North Haven,1205,1333,2538,14,2552,0.4748,0.5252,0.9945,0.0055
SA,North Shields,109,278,387,6,393,0.2817,0.7183,0.9847,0.0153
SA,Northfield,369,644,1013,12,1025,0.3643,0.6357,0.9883,0.0117
SA,Northfield South,604,943,1547,23,1570,0.3904,0.6096,0.9854,0.0146
SA,Norton Summit,321,228,549,8,557,0.5847,0.4153,0.9856,0.0144
SA,Norwood,1299,663,1962,15,1977,0.6621,0.3379,0.9924,0.0076
SA,Norwood West,1296,574,1870,15,1885,0.693,0.307,0.992,0.008
SA,Novar Gardens,793,995,1788,14,1802,0.4435,0.5565,0.9922,0.0078
SA,Nuriootpa,977,2044,3021,17,3038,0.3234,0.6766,0.9944,0.0056
SA,O B Flat,42,107,149,2,151,0.2819,0.7181,0.9868,0.0132
SA,O'Halloran Hill,1377,1468,2845,20,2865,0.484,0.516,0.993,0.007
SA,O'Sullivan Beach,530,824,1354,7,1361,0.3914,0.6086,0.9949,0.0051
SA,Oaklands Park,572,806,1378,12,1390,0.4151,0.5849,0.9914,0.0086
SA,Old Noarlunga,227,393,620,8,628,0.3661,0.6339,0.9873,0.0127
SA,One Tree Hill,454,639,1093,11,1104,0.4154,0.5846,0.99,0.01
SA,Onkaparinga Hills,582,878,1460,16,1476,0.3986,0.6014,0.9892,0.0108
SA,Orroroo,140,403,543,5,548,0.2578,0.7422,0.9909,0.0091
SA,Ottoway,833,822,1655,24,1679,0.5033,0.4967,0.9857,0.0143
SA,Owen,110,262,372,6,378,0.2957,0.7043,0.9841,0.0159
SA,Padthaway,87,262,349,0,349,0.2493,0.7507,1.0,0.0
SA,Palmer,36,116,152,2,154,0.2368,0.7632,0.987,0.013
SA,Panorama,606,486,1092,13,1105,0.5549,0.4451,0.9882,0.0118
SA,Para Hills,1406,2422,3828,34,3862,0.3673,0.6327,0.9912,0.0088
SA,Para Hills East,662,922,1584,10,1594,0.4179,0.5821,0.9937,0.0063
SA,Para Hills West,613,1134,1747,18,1765,0.3509,0.6491,0.9898,0.0102
SA,Para Vista,1178,1754,2932,24,2956,0.4018,0.5982,0.9919,0.0081
SA,Paracombe,123,169,292,3,295,0.4212,0.5788,0.9898,0.0102
SA,Paradise,926,784,1710,25,1735,0.5415,0.4585,0.9856,0.0144
SA,Paradise West,609,519,1128,12,1140,0.5399,0.4601,0.9895,0.0105
SA,Parafield Gardens,723,1153,1876,29,1905,0.3854,0.6146,0.9848,0.0152
SA,Parafield Gardens Central,1423,2462,3885,53,3938,0.3663,0.6337,0.9865,0.0135
SA,Parafield Gardens North West,999,1849,2848,31,2879,0.3508,0.6492,0.9892,0.0108
SA,Paralowie,1553,2956,4509,56,4565,0.3444,0.6556,0.9877,0.0123
SA,Paralowie West,999,1803,2802,38,2840,0.3565,0.6435,0.9866,0.0134
SA,Parawa,43,65,108,2,110,0.3981,0.6019,0.9818,0.0182
SA,Parilla,25,90,115,0,115,0.2174,0.7826,1.0,0.0
SA,Paringa,271,416,687,12,699,0.3945,0.6055,0.9828,0.0172
SA,Park Holme,625,973,1598,19,1617,0.3911,0.6089,0.9882,0.0118
SA,Park Holme South,727,858,1585,17,1602,0.4587,0.5413,0.9894,0.0106
SA,Parkside East,1530,753,2283,19,2302,0.6702,0.3298,0.9917,0.0083
SA,Parndana,89,209,298,2,300,0.2987,0.7013,0.9933,0.0067
SA,Pasadena,1454,1266,2720,40,2760,0.5346,0.4654,0.9855,0.0145
SA,Paskeville,43,153,196,3,199,0.2194,0.7806,0.9849,0.0151
SA,Peake,13,143,156,2,158,0.0833,0.9167,0.9873,0.0127
SA,Penneshaw,115,169,284,3,287,0.4049,0.5951,0.9895,0.0105
SA,Pennington,844,759,1603,15,1618,0.5265,0.4735,0.9907,0.0093
SA,Penola,375,773,1148,9,1157,0.3267,0.6733,0.9922,0.0078
SA,Peterborough,316,873,1189,18,1207,0.2658,0.7342,0.9851,0.0149
SA,Piccadilly,273,196,469,6,475,0.5821,0.4179,0.9874,0.0126
SA,Pimpala,833,1248,2081,15,2096,0.4003,0.5997,0.9928,0.0072
SA,Pine Point,58,115,173,0,173,0.3353,0.6647,1.0,0.0
SA,Pinnaroo,147,319,466,7,473,0.3155,0.6845,0.9852,0.0148
SA,Plympton,907,1054,1961,23,1984,0.4625,0.5375,0.9884,0.0116
SA,Plympton Park,679,763,1442,14,1456,0.4709,0.5291,0.9904,0.0096
SA,Plympton West,675,721,1396,18,1414,0.4835,0.5165,0.9873,0.0127
SA,Point Pass,36,97,133,0,133,0.2707,0.7293,1.0,0.0
SA,Ponde,34,138,172,2,174,0.1977,0.8023,0.9885,0.0115
SA,Poochera,16,110,126,0,126,0.127,0.873,1.0,0.0
SA,Pooraka,1689,2072,3761,47,3808,0.4491,0.5509,0.9877,0.0123
SA,Port Adelaide,315,298,613,5,618,0.5139,0.4861,0.9919,0.0081
SA,Port Augusta Central,377,750,1127,8,1135,0.3345,0.6655,0.993,0.007
SA,Port Augusta East,650,1363,2013,17,2030,0.3229,0.6771,0.9916,0.0084
SA,Port Augusta West,555,1326,1881,26,1907,0.2951,0.7049,0.9864,0.0136
SA,Port Broughton,318,696,1014,9,1023,0.3136,0.6864,0.9912,0.0088
SA,Port Clinton,65,271,336,0,336,0.1935,0.8065,1.0,0.0
SA,Port Elliot,440,669,1109,11,1120,0.3968,0.6032,0.9902,0.0098
SA,Port Germein,77,222,299,3,302,0.2575,0.7425,0.9901,0.0099
SA,Port Kenny,47,99,146,4,150,0.3219,0.6781,0.9733,0.0267
SA,Port Lincoln,1239,2293,3532,42,3574,0.3508,0.6492,0.9882,0.0118
SA,Port Lincoln Central,665,1287,1952,10,1962,0.3407,0.6593,0.9949,0.0051
SA,Port Lincoln South,253,782,1035,12,1047,0.2444,0.7556,0.9885,0.0115
SA,Port MacDonnell,192,551,743,8,751,0.2584,0.7416,0.9893,0.0107
SA,Port Neill,64,181,245,2,247,0.2612,0.7388,0.9919,0.0081
SA,Port Noarlunga,713,907,1620,10,1630,0.4401,0.5599,0.9939,0.0061
SA,Port Pirie South,216,249,465,0,465,0.4645,0.5355,1.0,0.0
SA,Port Pirie West,790,1687,2477,32,2509,0.3189,0.6811,0.9872,0.0128
SA,Port Victoria,102,220,322,4,326,0.3168,0.6832,0.9877,0.0123
SA,Port Vincent,133,295,428,3,431,0.3107,0.6893,0.993,0.007
SA,Port Wakefield,90,361,451,7,458,0.1996,0.8004,0.9847,0.0153
SA,Prison Mobiles,2,1,3,0,3,0.6667,0.3333,1.0,0.0
SA,Prospect,1241,696,1937,14,1951,0.6407,0.3593,0.9928,0.0072
SA,Prospect Estate,448,394,842,11,853,0.5321,0.4679,0.9871,0.0129
SA,Prospect Hill,56,82,138,1,139,0.4058,0.5942,0.9928,0.0072
SA,Prospect North,952,854,1806,17,1823,0.5271,0.4729,0.9907,0.0093
SA,Prospect South,767,465,1232,8,1240,0.6226,0.3774,0.9935,0.0065
SA,Prospect West,1444,933,2377,21,2398,0.6075,0.3925,0.9912,0.0088
SA,Purnong,27,96,123,2,125,0.2195,0.7805,0.984,0.016
SA,Queenstown,764,953,1717,25,1742,0.445,0.555,0.9856,0.0144
SA,Quorn,222,516,738,8,746,0.3008,0.6992,0.9893,0.0107
SA,Ramco,165,276,441,5,446,0.3741,0.6259,0.9888,0.0112
SA,Redhill,44,153,197,1,198,0.2234,0.7766,0.9949,0.0051
SA,Redwood Park,1024,1316,2340,16,2356,0.4376,0.5624,0.9932,0.0068
SA,Rendelsham,42,124,166,0,166,0.253,0.747,1.0,0.0
SA,Renmark,1291,1878,3169,47,3216,0.4074,0.5926,0.9854,0.0146
SA,Renmark North,201,333,534,7,541,0.3764,0.6236,0.9871,0.0129
SA,Renmark West,209,306,515,9,524,0.4058,0.5942,0.9828,0.0172
SA,Renown Park,999,889,1888,28,1916,0.5291,0.4709,0.9854,0.0146
SA,Reynella,1105,1640,2745,10,2755,0.4026,0.5974,0.9964,0.0036
SA,Reynella East,1607,1858,3465,31,3496,0.4638,0.5362,0.9911,0.0089
SA,Reynella South,1173,1833,3006,32,3038,0.3902,0.6098,0.9895,0.0105
SA,Richmond,914,866,1780,26,1806,0.5135,0.4865,0.9856,0.0144
SA,Ridgehaven,1375,1978,3353,32,3385,0.4101,0.5899,0.9905,0.0095
SA,Risdon Park East,974,1837,2811,19,2830,0.3465,0.6535,0.9933,0.0067
SA,Risdon Park South,406,704,1110,8,1118,0.3658,0.6342,0.9928,0.0072
SA,Riverton,189,507,696,3,699,0.2716,0.7284,0.9957,0.0043
SA,Robe,276,554,830,7,837,0.3325,0.6675,0.9916,0.0084
SA,Robertstown,50,219,269,3,272,0.1859,0.8141,0.989,0.011
SA,Rose Park,279,178,457,0,457,0.6105,0.3895,1.0,0.0
SA,Rosewater,914,1203,2117,24,2141,0.4317,0.5683,0.9888,0.0112
SA,Roseworthy,141,330,471,4,475,0.2994,0.7006,0.9916,0.0084
SA,Rostrevor,1667,1417,3084,28,3112,0.5405,0.4595,0.991,0.009
SA,Roxby Downs,575,895,1470,12,1482,0.3912,0.6088,0.9919,0.0081
SA,Royal Park,939,1033,1972,23,1995,0.4762,0.5238,0.9885,0.0115
