,state,polling_place,latitude,longitude
251,NSW,Cherrybrook North,-33.719035600000005,151.0376017
252,NSW,Cherrybrook South,-33.7382005,151.0503745
253,NSW,Cowan,-33.5885,151.16899999999998
255,NSW,Dural,-33.6857,151.026
256,NSW,Eurambie Park,-33.7447,151.03
257,NSW,Galston,-33.648,151.045
258,NSW,Glenhaven,-33.701,151.004
259,NSW,Glenorie,-33.5987,151.00799999999998
260,NSW,Hillside Central,-33.6054902,150.9788283
261,NSW,Hopetoun,-33.7285,151.025
262,NSW,Hornsby,-33.7,151.097
264,NSW,Hornsby Central,-33.7064,151.102
265,NSW,Hornsby Heights,-33.670187,151.09664819999998
266,NSW,Hornsby North,-33.6833,151.09799999999998
267,NSW,Hornsby South,-33.712763700000004,151.0955118
268,NSW,Hornsby West,-33.70446,151.09712199999998
269,NSW,Kenthurst,-33.6654,151.004
270,NSW,Maroota,-33.45935,150.99446
271,NSW,Maroota South,-33.5234,150.944
272,NSW,Middle Dural,-33.6444,151.023
273,NSW,Mount Colah,-33.6726,151.11700000000002
274,NSW,Mount Kuring-Gai,-33.6575,151.136
275,NSW,Mowll,-33.7271,151.024
276,NSW,Murray Farm,-33.7658,151.039
277,NSW,Normanhurst,-33.7237,151.09799999999998
278,NSW,Normanhurst West,-33.72177,151.08808
279,NSW,Oakhill Drive,-33.721514,151.02326340000002
280,NSW,Pennant Hills,-33.732899200000006,151.0614421
281,NSW,Samuel Gilbert,-33.7142,150.993
283,NSW,Sydney,-33.8730501,151.20645280000002
284,NSW,Thompsons Corner,-33.7459033,151.05013630000002
285,NSW,Thornleigh,-33.7282,151.085
286,NSW,Westleigh,-33.7242,151.072
287,NSW,West Pennant Hills,-33.756832,151.042589
289,NSW,Wisemans Ferry,-33.395453499999995,150.9849427
290,NSW,Auburn,-33.8538,151.032
291,NSW,Auburn Central,-33.856,151.028152
292,NSW,Auburn East,-33.8652,151.025
293,NSW,Auburn North,-33.8433,151.034
294,NSW,Auburn West,-33.8603,151.02
295,NSW,Bankstown,-33.9209,151.034
297,NSW,Bankstown Central,-33.919270000000004,151.03662
298,NSW,Bankstown East,-33.9133,151.035
299,NSW,Bankstown North,-33.9054791,151.03867240000002
300,NSW,Bankstown West,-33.9164,151.02
301,NSW,Bass Hill,-33.9047,151.006
302,NSW,Bass Hill West,-33.8996,150.99
303,NSW,Berala,-33.8705,151.028
304,NSW,Berala South,-33.8783,151.029
305,NSW,Birrong,-33.8958,151.02
306,NSW,Blaxcell,-33.8579,151.007
308,NSW,Chester Hill,-33.8847939,151.0008561
309,NSW,Chester Hill Central,-33.8873,151.001
310,NSW,Chester Hill North,-33.8737,150.996
311,NSW,Condell Park,-33.9255,151.013
