longitude,latitude,SSC_CODE16,SSC_NAME16,STE_CODE16,STE_NAME16,AREASQKM16,xcoord,ycoord
150.8829559,-33.79053801,10087,Arndell Park,1,New South Wales,2.0008,150.88296,-33.79054
153.1911431,-30.05295848,10088,Arrawarra,1,New South Wales,2.818,153.19114,-30.05296
153.1956703,-30.06824022,10089,Arrawarra Headland,1,New South Wales,2.6804,153.19567,-30.06824
151.1860022,-33.81095335,10090,Artarmon,1,New South Wales,2.5348,151.186,-33.81095
148.7379128,-32.55595392,10091,Arthurville,1,New South Wales,72.5398,148.73791,-32.55595
143.069163,-33.61914449,10092,Arumpo,1,New South Wales,5396.4077,143.06916,-33.61914
151.1188633,-33.90021723,10093,Ashbury,1,New South Wales,1.0312,151.11886,-33.90022
153.1836855,-29.44216163,10094,Ashby (NSW),1,New South Wales,14.03,153.18369,-29.44216
153.1746485,-29.39582332,10095,Ashby Heights,1,New South Wales,32.3489,153.17465,-29.39582
153.203606,-29.42424609,10096,Ashby Island,1,New South Wales,2.4098,153.20361,-29.42425
150.8998504,-33.915984,10097,Ashcroft,1,New South Wales,1.1539,150.89985,-33.91598
151.1261957,-33.88871138,10098,Ashfield (NSW),1,New South Wales,3.4143,151.1262,-33.88871
151.1670602,-29.31184414,10099,Ashford (NSW),1,New South Wales,681.0473,151.16706,-29.31184
149.7976808,-29.25012899,10100,Ashley,1,New South Wales,332.7669,149.79768,-29.25013
147.3317541,-35.12490728,10101,Ashmont,1,New South Wales,2.4289,147.33175,-35.12491
151.5992192,-32.7799428,10102,Ashtonfield,1,New South Wales,6.8336,151.59922,-32.77994
151.116306,-33.68705495,10103,Asquith,1,New South Wales,3.5017,151.11631,-33.68705
151.0475968,-29.0681753,10104,Atholwood,1,New South Wales,454.4564,151.0476,-29.06818
150.8174508,-30.91125737,10105,Attunga,1,New South Wales,218.7213,150.81745,-30.91126
151.0262029,-33.85469966,10106,Auburn (NSW),1,New South Wales,8.5637,151.0262,-33.8547
151.0390994,-29.8308944,10107,Auburn Vale,1,New South Wales,63.6472,151.0391,-29.83089
150.9291209,-34.30166675,10108,Austinmer,1,New South Wales,3.3382,150.92912,-34.30167
150.8081274,-33.92350796,10109,Austral,1,New South Wales,17.6607,150.80813,-33.92351
152.9196264,-31.02558355,10110,Austral Eden,1,New South Wales,13.6185,152.91963,-31.02558
151.3270111,-33.62945365,10111,Avalon Beach,1,New South Wales,5.1313,151.32701,-33.62945
149.4787843,-32.74711109,10112,Avisford,1,New South Wales,18.3025,149.47878,-32.74711
150.4721327,-34.59119347,10113,Avoca (NSW),1,New South Wales,24.6252,150.47213,-34.59119
151.4276206,-33.47025171,10114,Avoca Beach,1,New South Wales,4.4418,151.42762,-33.47025
150.6686764,-34.42550153,10115,Avon (NSW),1,New South Wales,265.8204,150.66868,-34.4255
150.7453599,-34.52392396,10116,Avondale (NSW),1,New South Wales,18.3129,150.74536,-34.52392
148.7204535,-36.39806752,10117,Avonside,1,New South Wales,57.3648,148.72045,-36.39807
151.5424827,-33.02244101,10118,Awaba,1,New South Wales,23.1193,151.54248,-33.02244
150.4964649,-34.42248907,10119,Aylmerton,1,New South Wales,2.7956,150.49646,-34.42249
149.9290623,-30.57236372,10120,Baan Baa,1,New South Wales,254.9381,149.92906,-30.57236
146.5085396,-31.92565713,10121,Babinda (NSW),1,New South Wales,476.2417,146.50854,-31.92566
152.792922,-28.72234981,10122,Babyl Creek,1,New South Wales,25.8859,152.79292,-28.72235
147.4605367,-33.86455643,10123,Back Creek (Bland - NSW),1,New South Wales,449.795,147.46054,-33.86456
150.275576,-30.11227116,10124,Back Creek (Gwydir - NSW),1,New South Wales,119.9514,150.27558,-30.11227
152.0531502,-31.96168656,10125,Back Creek (Mid-Coast - NSW),1,New South Wales,31.5289,152.05315,-31.96169
